
2017-06-19 14:47:47 DEBUG| POST:http://localhost/TEK.SeatPlan.WebApi/api/Seat

2017-06-19 14:57:40 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat
2017-06-19 14:58:06 FATAL| System.ArgumentException: Source and Target seat [1] should not be the same

2017-06-19 15:17:24 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/Seat?seatNumber=5

2017-06-19 15:23:07 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 15:23:07 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 15:23:08 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 15:23:08 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/LocationSeat?locationId=2
2017-06-19 15:23:09 INFO | 89 records of type: Seat retrieved by user: CORPORATE\chewang

2017-06-19 15:23:50 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/version

2017-06-19 15:23:50 DEBUG| GET:http://localhost/TEK.SeatPlan.WebApi/api/location
2017-06-19 15:23:51 INFO | 2 records of type: Location retrieved by user: CORPORATE\chewang

2017-06-19 16:59:50 DEBUG| DELETE:http://localhost/TEK.SeatPlan.WebApi/api/Seat
2017-06-19 16:59:51 FATAL| System.NullReferenceException: Object reference not set to an instance of an object.
